conflict_case,origin_name,origin_iso,host_name,host_iso,host_group,year,post_conflict,conflict_intensity,refugee_stock,asylum_seekers,host_population,refugees_per_1000,log_refugee_stock,gdp_growth,inflation,unemployment,trade_pct_gdp,current_account_pct_gdp
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2021,1,1356.0,62408.0,10558.0,8955797.0,6.968447364316096,11.041464774726492,4.92309171717903,2.7666666666667,6.459,111.032932124165,1.71590187553909
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2022,1,911.0,73923.0,17244.0,9041851.0,8.175648990455604,11.210792817405647,5.33096379400371,8.54686993188457,4.992,123.579578652902,-0.826550284589036
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2023,1,1500.0,87167.0,17740.0,9131761.0,9.54547540173248,11.375592570069129,-0.786244288594673,7.81413417002831,5.264,115.152914822732,1.31277352992302
Syrian Civil War,Syria,SYR,Austria,AUT,non_neighbor_european_host,2024,1,2166.0,105143.0,12762.0,9177982.0,11.45600416300664,11.563086118161845,-0.659089573171372,2.93791574279375,5.2,108.825777834405,1.53088550116276
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2010,0,0.0,10518.0,2690.0,81776930.0,0.12861818119119903,9.260938424739274,4.13463778522758,1.1038103778926,7.043,73.8852351200263,5.77277636027696
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2011,1,1203.0,10155.0,4713.0,80274983.0,0.12650267394014894,9.225819942824568,3.75796884489337,2.07517283735874,5.967,78.433002901442,6.26091712383114
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2012,1,50490.0,18165.0,5986.0,80425823.0,0.22586029365220173,9.80730699406216,0.463512036709204,2.00848884782956,5.372,79.3316495670315,7.19554460437767
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2013,1,72016.0,21253.0,10566.0,80645605.0,0.26353575002630336,9.96430039193264,0.396995583779145,1.50472330251876,5.316,77.5860288576931,6.72910853583547
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2014,1,65345.0,40994.0,29591.0,80982500.0,0.5062081313864106,10.621205387030278,2.18018602168017,0.906794000434245,4.979,76.8483516336234,7.19417703303447
Syrian Civil War,Syria,SYR,Germany,DEU,non_neighbor_european_host,2015,1,50181.0,115604.0,81582.0,81686611.0,1.4152135654152673,11.657934486880203,1.66300602334775,0.514426137125456,4.612,77.7565815686922,8.09671429040111
