model,target,MAE,RMSE,R2
Linear Regression,gdp_growth,2.018343918454411,3.1298573266577763,0.202532598582276
Decision Tree Regressor,gdp_growth,2.1652461633094933,3.1858910131353904,0.17372295603495613
