conflict_case,host_group,mean_gdp_growth_post0,mean_gdp_growth_post1,mean_inflation_post0,mean_inflation_post1,mean_refugees_per_1000_post0,mean_refugees_per_1000_post1,mean_refugees_per_1000_change,mean_gdp_growth_change,mean_inflation_change
Russia-Ukraine War,neighboring_host,3.149989221269136,1.405952530282222,3.0432251563880945,11.199707634096926,0.004970106127386071,21.66649536215356,21.661525256026177,-1.744036690986914,8.156482477708831
Russia-Ukraine War,non_neighbor_european_host,1.3142776527524733,1.6642183263037296,1.4485303146899213,5.879782948270194,0.026602897805081863,9.708931910902296,9.682329013097213,0.34994067355125624,4.431252633580273
Syrian Civil War,neighboring_host,6.308683277117142,2.4540519350524197,5.0682974088392125,19.03028667853678,0.01203351766659185,56.276359082363435,56.26432556469684,-3.8546313420647222,13.961989269697566
Syrian Civil War,non_neighbor_european_host,3.2534263286197254,1.4033897575147463,1.337659622641565,2.4867885645952152,0.09625791307677908,4.486076035528614,4.3898181224518344,-1.850036571104979,1.1491289419536503
Syrian Civil War,regional_non_neighbor_host,5.1472348575531,3.747381511029151,11.2651882653185,14.305112181631147,8.969004823441104e-05,1.0908141559256463,1.090724465877412,-1.3998533465239489,3.039923916312647
