model,target,MAE,RMSE,R2
Linear Regression,gdp_growth,2.701463408563596,3.8069581089682165,0.10932384092009706
Decision Tree Regressor,gdp_growth,3.2307550661911435,4.407072264104655,-0.1936141960713489
