conflict_case,host_group,post_conflict,observations,mean_refugees_per_1000,median_refugees_per_1000,mean_gdp_growth,median_gdp_growth,mean_inflation,mean_unemployment,mean_trade_pct_gdp,mean_current_account_pct_gdp
Russia-Ukraine War,neighboring_host,0,60,0.004970106127386071,0.0019684126334346,3.149989221269136,3.7901623889849354,3.0432251563880945,6.301383333333334,121.5667955125751,-2.845350760957763
Russia-Ukraine War,neighboring_host,1,15,21.66649536215356,23.027084400579355,1.405952530282222,1.2000000493378,11.199707634096926,3.8890000000000002,128.61830601002342,-6.274184574397713
Russia-Ukraine War,non_neighbor_european_host,0,96,0.026602897805081863,0.01293978987881185,1.3142776527524733,1.7713181040309651,1.4485303146899213,8.365583333333333,93.0800269138416,2.7768361638360233
Russia-Ukraine War,non_neighbor_european_host,1,24,9.708931910902296,5.177243100048288,1.6642183263037296,1.2117770512968349,5.879782948270194,6.145916666666667,102.63449655936559,2.4908566199938655
Syrian Civil War,neighboring_host,0,4,0.01203351766659185,0.01043837184451895,6.308683277117142,7.188850201580625,5.0682974088392125,9.8535,82.44003673174568,-6.89964010811487
Syrian Civil War,neighboring_host,1,56,56.276359082363435,42.97227319593058,2.4540519350524197,2.56479133680038,19.03028667853678,12.347090909090909,75.5545278450908,-6.01198097436052
Syrian Civil War,non_neighbor_european_host,0,4,0.09625791307677908,0.09801567938035445,3.2534263286197254,2.971810107832105,1.337659622641565,6.38175,97.17582763432854,5.261846868291975
Syrian Civil War,non_neighbor_european_host,1,56,4.486076035528614,3.5397051322849173,1.4033897575147463,1.76261577558504,2.4867885645952152,5.503660714285714,108.71482797692899,5.1826130030948665
Syrian Civil War,regional_non_neighbor_host,0,1,8.969004823441104e-05,8.969004823441104e-05,5.1472348575531,5.1472348575531,11.2651882653185,8.757,47.9363500745898,-2.05668307641306
Syrian Civil War,regional_non_neighbor_host,1,14,1.0908141559256463,1.226988207866921,3.747381511029151,3.655222680330425,14.305112181631147,10.086500000000001,38.374127090469436,-3.4208694469658942
