,conflict_bd_best_syria,refugee_stock,refugees_per_1000,gdp_growth,inflation,unemployment,trade_pct_gdp,current_account_pct_gdp
count,135.0,135.0,135.0,134.0,135.0,134.0,134.0,134.0
mean,22532.266666666666,492578.0962962963,25.321489038503223,2.309117143907594,10.682346670736809,8.971671641791046,86.17288794771251,-0.7233780127592774
std,25462.34718231679,863369.5167404509,44.425462839887544,4.054461990918549,29.25636480866865,4.040091828361799,33.22963544377225,9.59214383561407
min,0.0,8.0,8.969004823441104e-05,-21.3998996914321,-12.2969837587007,3.071,29.8569734808122,-34.606227109401
25%,1356.0,30904.5,1.2115418976940044,1.0035524848932456,1.38762046066081,5.58925,65.7128542979271,-4.9284695936004645
50%,7379.0,129210.0,5.967396086018384,2.297931983375205,2.89947905006057,8.23,80.12620240271275,1.557947809380195
75%,50181.0,625667.5,31.74061523665482,3.88946833118121,7.722993900871075,11.8715,104.86321550884026,6.3260994260779055
max,72016.0,3737369.0,180.79341546150224,13.9364301737537,221.341644023365,19.837,184.107484252682,20.1861883343541
